landmark_checklist: 5 seeds x 15000 steps x 100-eval, coef=0.05

[baseline] starting seed=1000 (15000 steps)...
  [seed=1000] step=200/15000 avg_step=9.6ms elapsed=2s eta=142s eval(20)=0.200
  [seed=1000] step=400/15000 avg_step=9.9ms elapsed=4s eta=145s eval(20)=0.200
  [seed=1000] step=600/15000 avg_step=10.8ms elapsed=6s eta=156s eval(20)=0.200
  [seed=1000] step=800/15000 avg_step=11.9ms elapsed=10s eta=170s eval(20)=0.200
  [seed=1000] step=1000/15000 avg_step=12.4ms elapsed=12s eta=174s eval(20)=0.250
  [seed=1000] step=1200/15000 avg_step=13.6ms elapsed=16s eta=188s eval(20)=0.200
  [seed=1000] step=1400/15000 avg_step=14.4ms elapsed=20s eta=196s eval(20)=0.300
  [seed=1000] step=1600/15000 avg_step=15.0ms elapsed=24s eta=201s eval(20)=0.200
  [seed=1000] step=1800/15000 avg_step=15.5ms elapsed=28s eta=204s eval(20)=0.250
  [seed=1000] step=2000/15000 avg_step=15.8ms elapsed=32s eta=205s eval(20)=0.200
  [seed=1000] step=2200/15000 avg_step=16.1ms elapsed=35s eta=206s eval(20)=0.200
  [seed=1000] step=2400/15000 avg_step=16.4ms elapsed=39s eta=207s eval(20)=0.250
  [seed=1000] step=2600/15000 avg_step=16.6ms elapsed=43s eta=205s eval(20)=0.450
  [seed=1000] step=2800/15000 avg_step=16.7ms elapsed=47s eta=204s eval(20)=0.450
  [seed=1000] step=3000/15000 avg_step=16.8ms elapsed=51s eta=202s eval(20)=0.550
  [seed=1000] step=3200/15000 avg_step=16.9ms elapsed=54s eta=200s eval(20)=0.550
  [seed=1000] step=3400/15000 avg_step=17.1ms elapsed=58s eta=198s eval(20)=0.600
  [seed=1000] step=3600/15000 avg_step=17.2ms elapsed=62s eta=196s eval(20)=0.700
  [seed=1000] step=3800/15000 avg_step=17.3ms elapsed=66s eta=194s eval(20)=0.700
  [seed=1000] step=4000/15000 avg_step=17.4ms elapsed=69s eta=191s eval(20)=0.600
  [seed=1000] step=4200/15000 avg_step=17.5ms elapsed=73s eta=189s eval(20)=0.650
  [seed=1000] step=4400/15000 avg_step=17.6ms elapsed=77s eta=186s eval(20)=0.650
  [seed=1000] step=4600/15000 avg_step=17.6ms elapsed=81s eta=184s eval(20)=0.750
  [seed=1000] step=4800/15000 avg_step=17.7ms elapsed=85s eta=181s eval(20)=0.700
  [seed=1000] step=5000/15000 avg_step=17.8ms elapsed=89s eta=178s eval(20)=0.700
  [seed=1000] step=5200/15000 avg_step=17.9ms elapsed=93s eta=175s eval(20)=0.650
  [seed=1000] step=5400/15000 avg_step=17.9ms elapsed=97s eta=172s eval(20)=0.700
  [seed=1000] step=5600/15000 avg_step=17.9ms elapsed=100s eta=168s eval(20)=0.700
  [seed=1000] step=5800/15000 avg_step=17.9ms elapsed=104s eta=165s eval(20)=0.700
  [seed=1000] step=6000/15000 avg_step=18.0ms elapsed=108s eta=162s eval(20)=0.650
  [seed=1000] step=6200/15000 avg_step=18.0ms elapsed=111s eta=158s eval(20)=0.650
  [seed=1000] step=6400/15000 avg_step=18.0ms elapsed=115s eta=155s eval(20)=0.650
  [seed=1000] step=6600/15000 avg_step=18.0ms elapsed=119s eta=151s eval(20)=0.600
  [seed=1000] step=6800/15000 avg_step=18.0ms elapsed=123s eta=148s eval(20)=0.650
  [seed=1000] step=7000/15000 avg_step=18.0ms elapsed=126s eta=144s eval(20)=0.600
  [seed=1000] step=7200/15000 avg_step=18.1ms elapsed=130s eta=141s eval(20)=0.650
  [seed=1000] step=7400/15000 avg_step=18.1ms elapsed=134s eta=137s eval(20)=0.600
  [seed=1000] step=7600/15000 avg_step=18.1ms elapsed=137s eta=134s eval(20)=0.600
  [seed=1000] step=7800/15000 avg_step=18.1ms elapsed=141s eta=130s eval(20)=0.600
  [seed=1000] step=8000/15000 avg_step=18.1ms elapsed=145s eta=127s eval(20)=0.500
  [seed=1000] step=8200/15000 avg_step=18.1ms elapsed=149s eta=123s eval(20)=0.500
  [seed=1000] step=8400/15000 avg_step=18.1ms elapsed=152s eta=120s eval(20)=0.450
  [seed=1000] step=8600/15000 avg_step=18.1ms elapsed=156s eta=116s eval(20)=0.450
  [seed=1000] step=8800/15000 avg_step=18.1ms elapsed=160s eta=113s eval(20)=0.450
  [seed=1000] step=9000/15000 avg_step=18.2ms elapsed=163s eta=109s eval(20)=0.450
  [seed=1000] step=9200/15000 avg_step=18.2ms elapsed=167s eta=105s eval(20)=0.400
  [seed=1000] step=9400/15000 avg_step=18.2ms elapsed=171s eta=102s eval(20)=0.400
  [seed=1000] step=9600/15000 avg_step=18.2ms elapsed=175s eta=98s eval(20)=0.400
  [seed=1000] step=9800/15000 avg_step=18.2ms elapsed=178s eta=95s eval(20)=0.400
  [seed=1000] step=10000/15000 avg_step=18.2ms elapsed=182s eta=91s eval(20)=0.400
  [seed=1000] step=10200/15000 avg_step=18.2ms elapsed=186s eta=87s eval(20)=0.400
  [seed=1000] step=10400/15000 avg_step=18.2ms elapsed=189s eta=84s eval(20)=0.400
  [seed=1000] step=10600/15000 avg_step=18.2ms elapsed=193s eta=80s eval(20)=0.400
  [seed=1000] step=10800/15000 avg_step=18.2ms elapsed=197s eta=77s eval(20)=0.400
  [seed=1000] step=11000/15000 avg_step=18.2ms elapsed=201s eta=73s eval(20)=0.400
  [seed=1000] step=11200/15000 avg_step=18.2ms elapsed=204s eta=69s eval(20)=0.450
  [seed=1000] step=11400/15000 avg_step=18.3ms elapsed=208s eta=66s eval(20)=0.450
  [seed=1000] step=11600/15000 avg_step=18.3ms elapsed=212s eta=62s eval(20)=0.450
  [seed=1000] step=11800/15000 avg_step=18.3ms elapsed=216s eta=58s eval(20)=0.450
  [seed=1000] step=12000/15000 avg_step=18.3ms elapsed=219s eta=55s eval(20)=0.450
  [seed=1000] step=12200/15000 avg_step=18.3ms elapsed=223s eta=51s eval(20)=0.450
  [seed=1000] step=12400/15000 avg_step=18.3ms elapsed=227s eta=48s eval(20)=0.450
  [seed=1000] step=12600/15000 avg_step=18.3ms elapsed=230s eta=44s eval(20)=0.450
  [seed=1000] step=12800/15000 avg_step=18.3ms elapsed=234s eta=40s eval(20)=0.450
  [seed=1000] step=13000/15000 avg_step=18.3ms elapsed=238s eta=37s eval(20)=0.450
  [seed=1000] step=13200/15000 avg_step=18.3ms elapsed=242s eta=33s eval(20)=0.400
  [seed=1000] step=13400/15000 avg_step=18.4ms elapsed=246s eta=29s eval(20)=0.400
  [seed=1000] step=13600/15000 avg_step=18.4ms elapsed=250s eta=26s eval(20)=0.400
  [seed=1000] step=13800/15000 avg_step=18.4ms elapsed=254s eta=22s eval(20)=0.400
  [seed=1000] step=14000/15000 avg_step=18.4ms elapsed=258s eta=18s eval(20)=0.400
  [seed=1000] step=14200/15000 avg_step=18.4ms elapsed=261s eta=15s eval(20)=0.400
  [seed=1000] step=14400/15000 avg_step=18.4ms elapsed=265s eta=11s eval(20)=0.400
  [seed=1000] step=14600/15000 avg_step=18.4ms elapsed=269s eta=7s eval(20)=0.400
  [seed=1000] step=14800/15000 avg_step=18.4ms elapsed=273s eta=4s eval(20)=0.400
  [seed=1000] step=15000/15000 avg_step=18.5ms elapsed=277s eta=0s eval(20)=0.400
[baseline] seed=1000 done: old_style=0.3333 eval_acc(100)=0.3700
[baseline] starting seed=1001 (15000 steps)...
  [seed=1001] step=200/15000 avg_step=9.1ms elapsed=2s eta=135s eval(20)=0.250
  [seed=1001] step=400/15000 avg_step=9.4ms elapsed=4s eta=138s eval(20)=0.200
  [seed=1001] step=600/15000 avg_step=10.3ms elapsed=6s eta=148s eval(20)=0.200
  [seed=1001] step=800/15000 avg_step=11.2ms elapsed=9s eta=160s eval(20)=0.250
  [seed=1001] step=1000/15000 avg_step=11.8ms elapsed=12s eta=165s eval(20)=0.250
  [seed=1001] step=1200/15000 avg_step=12.9ms elapsed=16s eta=178s eval(20)=0.400
  [seed=1001] step=1400/15000 avg_step=13.7ms elapsed=19s eta=187s eval(20)=0.500
  [seed=1001] step=1600/15000 avg_step=14.3ms elapsed=23s eta=192s eval(20)=0.500
