# arm=rank1 use_energy=False train_steps=28000 checkpoint_every=1000 seed=9774 state_width=1024 num_tiles=32 max_weights=16384
/home/simleek/claude_code/sili__new/sili/cpu.py:83: RuntimeWarning: overflow encountered in exp
  return x / (1.0 + np.exp(-x))
/home/simleek/claude_code/sili__new/sili/cpu.py:87: RuntimeWarning: overflow encountered in exp
  sig = 1.0 / (1.0 + np.exp(-x))
step=   1000  acc=0.0250  (1049s elapsed, 1.049s/step)
step=   2000  acc=0.0458  (2112s elapsed, 1.056s/step)
step=   3000  acc=0.0208  (3168s elapsed, 1.056s/step)
step=   4000  acc=0.0042  (4233s elapsed, 1.058s/step)
step=   5000  acc=0.0333  (5297s elapsed, 1.059s/step)
step=   6000  acc=0.0542  (6365s elapsed, 1.061s/step)
step=   7000  acc=0.0333  (7430s elapsed, 1.061s/step)
step=   8000  acc=0.0417  (8493s elapsed, 1.062s/step)
step=   9000  acc=0.0417  (9559s elapsed, 1.062s/step)
step=  10000  acc=0.0417  (10616s elapsed, 1.062s/step)
step=  11000  acc=0.0375  (11679s elapsed, 1.062s/step)
step=  12000  acc=0.0333  (12740s elapsed, 1.062s/step)
step=  13000  acc=0.0125  (13802s elapsed, 1.062s/step)
step=  14000  acc=0.0250  (14859s elapsed, 1.061s/step)
step=  15000  acc=0.0292  (15916s elapsed, 1.061s/step)
step=  16000  acc=0.0250  (16976s elapsed, 1.061s/step)
step=  17000  acc=0.0250  (18039s elapsed, 1.061s/step)
step=  18000  acc=0.0208  (19101s elapsed, 1.061s/step)
step=  19000  acc=0.0375  (20154s elapsed, 1.061s/step)
step=  20000  acc=0.0250  (21219s elapsed, 1.061s/step)
step=  21000  acc=0.0417  (22286s elapsed, 1.061s/step)
step=  22000  acc=0.0208  (23349s elapsed, 1.061s/step)
step=  23000  acc=0.0208  (24405s elapsed, 1.061s/step)
step=  24000  acc=0.0625  (25463s elapsed, 1.061s/step)
step=  25000  acc=0.0250  (26516s elapsed, 1.061s/step)
step=  26000  acc=0.0292  (27581s elapsed, 1.061s/step)
step=  27000  acc=0.0417  (28638s elapsed, 1.061s/step)
step=  28000  acc=0.0250  (29692s elapsed, 1.060s/step)
# DONE arm=rank1 use_energy=False (29692s total)
