# arm=fp8 use_energy=False train_steps=28000 checkpoint_every=1000 seed=9127 state_width=1024 num_tiles=32 max_weights=16384
/home/simleek/claude_code/sili__new/sili/cpu.py:83: RuntimeWarning: overflow encountered in exp
  return x / (1.0 + np.exp(-x))
/home/simleek/claude_code/sili__new/sili/cpu.py:87: RuntimeWarning: overflow encountered in exp
  sig = 1.0 / (1.0 + np.exp(-x))
step=   1000  acc=0.0375  (1053s elapsed, 1.053s/step)
step=   2000  acc=0.0625  (2115s elapsed, 1.058s/step)
step=   3000  acc=0.0792  (3180s elapsed, 1.060s/step)
step=   4000  acc=0.0333  (4236s elapsed, 1.059s/step)
step=   5000  acc=0.0333  (5299s elapsed, 1.060s/step)
step=   6000  acc=0.0417  (6353s elapsed, 1.059s/step)
step=   7000  acc=0.0417  (7414s elapsed, 1.059s/step)
step=   8000  acc=0.0583  (8465s elapsed, 1.058s/step)
step=   9000  acc=0.0583  (9519s elapsed, 1.058s/step)
step=  10000  acc=0.0542  (10568s elapsed, 1.057s/step)
step=  11000  acc=0.0333  (11630s elapsed, 1.057s/step)
step=  12000  acc=0.0375  (12680s elapsed, 1.057s/step)
step=  13000  acc=0.0750  (13731s elapsed, 1.056s/step)
step=  14000  acc=0.0333  (14786s elapsed, 1.056s/step)
step=  15000  acc=0.0333  (15842s elapsed, 1.056s/step)
step=  16000  acc=0.0375  (16892s elapsed, 1.056s/step)
step=  17000  acc=0.0667  (17943s elapsed, 1.055s/step)
step=  18000  acc=0.0500  (18998s elapsed, 1.055s/step)
step=  19000  acc=0.0500  (20054s elapsed, 1.055s/step)
step=  20000  acc=0.0625  (21106s elapsed, 1.055s/step)
step=  21000  acc=0.0500  (22157s elapsed, 1.055s/step)
step=  22000  acc=0.0458  (23213s elapsed, 1.055s/step)
step=  23000  acc=0.0458  (24261s elapsed, 1.055s/step)
step=  24000  acc=0.0583  (25314s elapsed, 1.055s/step)
step=  25000  acc=0.0458  (26367s elapsed, 1.055s/step)
step=  26000  acc=0.0458  (27422s elapsed, 1.055s/step)
step=  27000  acc=0.0542  (28473s elapsed, 1.055s/step)
step=  28000  acc=0.0667  (29534s elapsed, 1.055s/step)
# DONE arm=fp8 use_energy=False (29534s total)
