# arm=rank2 use_energy=False train_steps=28000 checkpoint_every=1000 seed=9949 state_width=1024 num_tiles=32 max_weights=16384
/home/simleek/claude_code/sili__new/sili/cpu.py:83: RuntimeWarning: overflow encountered in exp
  return x / (1.0 + np.exp(-x))
/home/simleek/claude_code/sili__new/sili/cpu.py:87: RuntimeWarning: overflow encountered in exp
  sig = 1.0 / (1.0 + np.exp(-x))
step=   1000  acc=0.0333  (1228s elapsed, 1.228s/step)
step=   2000  acc=0.0375  (2477s elapsed, 1.238s/step)
step=   3000  acc=0.0292  (3718s elapsed, 1.239s/step)
step=   4000  acc=0.0125  (4981s elapsed, 1.245s/step)
step=   5000  acc=0.0333  (6248s elapsed, 1.250s/step)
step=   6000  acc=0.0417  (7496s elapsed, 1.249s/step)
step=   7000  acc=0.0458  (8751s elapsed, 1.250s/step)
step=   8000  acc=0.0375  (10015s elapsed, 1.252s/step)
step=   9000  acc=0.0583  (11268s elapsed, 1.252s/step)
step=  10000  acc=0.0208  (12521s elapsed, 1.252s/step)
step=  11000  acc=0.0458  (13784s elapsed, 1.253s/step)
step=  12000  acc=0.0583  (15030s elapsed, 1.253s/step)
step=  13000  acc=0.0417  (16271s elapsed, 1.252s/step)
step=  14000  acc=0.0375  (17507s elapsed, 1.250s/step)
step=  15000  acc=0.0250  (18763s elapsed, 1.251s/step)
step=  16000  acc=0.0375  (20008s elapsed, 1.251s/step)
step=  17000  acc=0.0333  (21268s elapsed, 1.251s/step)
step=  18000  acc=0.0375  (22529s elapsed, 1.252s/step)
step=  19000  acc=0.0375  (23777s elapsed, 1.251s/step)
step=  20000  acc=0.0208  (25042s elapsed, 1.252s/step)
step=  21000  acc=0.0417  (26297s elapsed, 1.252s/step)
step=  22000  acc=0.0417  (27547s elapsed, 1.252s/step)
step=  23000  acc=0.0542  (28816s elapsed, 1.253s/step)
step=  24000  acc=0.0250  (30035s elapsed, 1.251s/step)
step=  25000  acc=0.0208  (31159s elapsed, 1.246s/step)
step=  26000  acc=0.0458  (32286s elapsed, 1.242s/step)
step=  27000  acc=0.0250  (33425s elapsed, 1.238s/step)
step=  28000  acc=0.0125  (34547s elapsed, 1.234s/step)
# DONE arm=rank2 use_energy=False (34547s total)
